Month,Marriages
2011 Jan,1427.0
2011 Feb,1268.0
2011 Mar,1639.0
2011 Apr,2148.0
2011 May,3208.0
2011 Jun,3724.0
2011 Jul,5173.0
2011 Aug,5689.0
2011 Sep,4889.0
2011 Oct,2841.0
2011 Nov,1574.0
2011 Dec,2455.0
2012 Jan,1437.0
2012 Feb,1254.0
2012 Mar,1698.0
2012 Apr,1927.0
2012 May,3035.0
2012 Jun,3702.0
2012 Jul,4247.0
2012 Aug,5269.0
2012 Sep,5009.0
2012 Oct,2694.0
2012 Nov,1395.0
2012 Dec,2756.0
2013 Jan,1374.0
2013 Feb,1119.0
2013 Mar,1503.0
2013 Apr,1727.0
2013 May,2685.0
2013 Jun,3399.0
2013 Jul,4011.0
2013 Aug,5613.0
2013 Sep,4287.0
2013 Oct,2480.0
2013 Nov,1343.0
2013 Dec,2457.0
2014 Jan,1336.0
2014 Feb,1070.0
2014 Mar,1340.0
2014 Apr,1748.0
2014 May,2855.0
2014 Jun,3012.0
2014 Jul,3964.0
2014 Aug,5829.0
2014 Sep,4297.0
2014 Oct,2431.0
2014 Nov,1270.0
2014 Dec,2326.0
2015 Jan,1110.0
2015 Feb,1077.0
2015 Mar,1432.0
2015 Apr,1544.0
2015 May,3037.0
2015 Jun,3164.0
2015 Jul,4160.0
2015 Aug,5909.0
2015 Sep,4518.0
2015 Oct,2822.0
2015 Nov,1272.0
2015 Dec,2348.0
2016 Jan,1136.0
2016 Feb,1066.0
2016 Mar,1390.0
2016 Apr,1901.0
2016 May,2888.0
2016 Jun,3415.0
2016 Jul,4628.0
2016 Aug,5245.0
2016 Sep,4659.0
2016 Oct,2720.0
2016 Nov,1277.0
2016 Dec,2074.0
2017 Jan,1179.0
2017 Feb,1128.0
2017 Mar,1449.0
2017 Apr,1915.0
2017 May,2936.0
2017 Jun,3566.0
2017 Jul,4808.0
2017 Aug,5263.0
2017 Sep,5224.0
2017 Oct,2741.0
2017 Nov,1471.0
2017 Dec,1954.0
2018 Jan,1344.0
2018 Feb,1206.0
2018 Mar,1477.0
2018 Apr,1833.0
2018 May,3115.0
2018 Jun,3947.0
2018 Jul,4321.0
2018 Aug,5265.0
2018 Sep,5191.0
2018 Oct,3368.0
2018 Nov,1533.0
2018 Dec,2037.0
2019 Jan,1322.0
2019 Feb,1160.0
2019 Mar,1499.0
2019 Apr,1767.0
2019 May,3081.0
2019 Jun,3897.0
2019 Jul,4086.0
2019 Aug,5097.0
2019 Sep,4555.0
2019 Oct,3227.0
2019 Nov,1594.0
2019 Dec,1987.0
2020 Jan,1483.0
2020 Feb,1437.0
2020 Mar,1035.0
2020 Apr,117.0
2020 May,745.0
2020 Jun,1316.0
2020 Jul,2037.0
2020 Aug,2589.0
2020 Sep,2859.0
2020 Oct,2560.0
2020 Nov,1225.0
2020 Dec,1499.0
2021 Jan,814.0
2021 Feb,177.0
2021 Mar,444.0
2021 Apr,1382.0
2021 May,2616.0
2021 Jun,3240.0
2021 Jul,4242.0
2021 Aug,4612.0
2021 Sep,4483.0
2021 Oct,3309.0
2021 Nov,1628.0
2021 Dec,2110.0
2022 Jan,1146.0
2022 Feb,1401.0
2022 Mar,1689.0
2022 Apr,2182.0
2022 May,3520.0
2022 Jun,4034.0
2022 Jul,4958.0
2022 Aug,4959.0
2022 Sep,5165.0
2022 Oct,3678.0
2022 Nov,1970.0
2022 Dec,2250.0
2023 Jan,1658.0
2023 Feb,1558.0
2023 Mar,1992.0
2023 Apr,2298.0
2023 May,3582.0
2023 Jun,3836.0
2023 Jul,4619.0
2023 Aug,4783.0
2023 Sep,5410.0
2023 Oct,3429.0
2023 Nov,1774.0
2023 Dec,2041.0
