Month,Marriages,year
1.0,1389.0,2010
2.0,1426.0,2010
3.0,2313.0,2010
4.0,2378.0,2010
5.0,2449.0,2010
6.0,1625.0,2010
7.0,1671.0,2010
8.0,2102.0,2010
9.0,3313.0,2010
10.0,4345.0,2010
11.0,2235.0,2010
12.0,1578.0,2010
1.0,1189.0,2011
2.0,1222.0,2011
3.0,1965.0,2011
4.0,2648.0,2011
5.0,2145.0,2011
6.0,1663.0,2011
7.0,1669.0,2011
8.0,2009.0,2011
9.0,3160.0,2011
10.0,3465.0,2011
11.0,2912.0,2011
12.0,1591.0,2011
1.0,1232.0,2012
2.0,1334.0,2012
3.0,2370.0,2012
4.0,2292.0,2012
5.0,2169.0,2012
6.0,1937.0,2012
7.0,1441.0,2012
8.0,2041.0,2012
9.0,3762.0,2012
10.0,3016.0,2012
11.0,2728.0,2012
12.0,1955.0,2012
1.0,1148.0,2013
2.0,1281.0,2013
3.0,2286.0,2013
4.0,2308.0,2013
5.0,2077.0,2013
6.0,1770.0,2013
7.0,1377.0,2013
8.0,2327.0,2013
9.0,3225.0,2013
10.0,3118.0,2013
11.0,2485.0,2013
12.0,1701.0,2013
1.0,1189.0,2014
2.0,1212.0,2014
3.0,2163.0,2014
4.0,2361.0,2014
5.0,2312.0,2014
6.0,1566.0,2014
7.0,1661.0,2014
8.0,2563.0,2014
9.0,3060.0,2014
10.0,3110.0,2014
11.0,2268.0,2014
12.0,1611.0,2014
1.0,1171.0,2015
2.0,1310.0,2015
3.0,1850.0,2015
4.0,1928.0,2015
5.0,2361.0,2015
6.0,1584.0,2015
7.0,1606.0,2015
8.0,2302.0,2015
9.0,2981.0,2015
10.0,3261.0,2015
11.0,1943.0,2015
12.0,1340.0,2015
1.0,1016.0,2016
2.0,1121.0,2016
3.0,1639.0,2016
4.0,2457.0,2016
5.0,1954.0,2016
6.0,1586.0,2016
7.0,1697.0,2016
8.0,1981.0,2016
9.0,3063.0,2016
10.0,3236.0,2016
11.0,1874.0,2016
12.0,1276.0,2016
1.0,1031.0,2017
2.0,1052.0,2017
3.0,1665.0,2017
4.0,2351.0,2017
5.0,1943.0,2017
6.0,1528.0,2017
7.0,1866.0,2017
8.0,1948.0,2017
9.0,3330.0,2017
10.0,2642.0,2017
11.0,1772.0,2017
12.0,1219.0,2017
1.0,953.0,2018
2.0,1043.0,2018
3.0,1900.0,2018
4.0,2150.0,2018
5.0,2222.0,2018
6.0,1776.0,2018
7.0,1760.0,2018
8.0,2553.0,2018
9.0,3407.0,2018
10.0,2701.0,2018
11.0,1876.0,2018
12.0,1318.0,2018
1.0,882.0,2019
2.0,1001.0,2019
3.0,1762.0,2019
4.0,2070.0,2019
5.0,2260.0,2019
6.0,1676.0,2019
7.0,1615.0,2019
8.0,2283.0,2019
9.0,2870.0,2019
10.0,2582.0,2019
11.0,1897.0,2019
12.0,1280.0,2019
1.0,940.0,2020
2.0,1378.0,2020
3.0,1516.0,2020
4.0,671.0,2020
5.0,739.0,2020
6.0,724.0,2020
7.0,910.0,2020
8.0,1538.0,2020
9.0,2063.0,2020
10.0,2646.0,2020
11.0,1572.0,2020
12.0,1226.0,2020
1.0,952.0,2021
2.0,1102.0,2021
3.0,1867.0,2021
4.0,2244.0,2021
5.0,2650.0,2021
6.0,1761.0,2021
7.0,1834.0,2021
8.0,1566.0,2021
9.0,2478.0,2021
10.0,2438.0,2021
11.0,1559.0,2021
12.0,1197.0,2021
1.0,963.0,2022
2.0,1517.0,2022
3.0,1739.0,2022
4.0,2444.0,2022
5.0,2260.0,2022
6.0,1748.0,2022
7.0,2043.0,2022
8.0,2225.0,2022
9.0,3184.0,2022
10.0,3352.0,2022
11.0,2185.0,2022
12.0,1386.0,2022
1.0,990.0,2023
2.0,1091.0,2023
3.0,1975.0,2023
4.0,2268.0,2023
5.0,2106.0,2023
6.0,1830.0,2023
7.0,1906.0,2023
8.0,2287.0,2023
9.0,3469.0,2023
10.0,2670.0,2023
11.0,1966.0,2023
12.0,1294.0,2023
1.0,907.0,2024
2.0,1217.0,2024
3.0,1767.0,2024
4.0,2303.0,2024
5.0,2077.0,2024
6.0,1943.0,2024
7.0,1703.0,2024
8.0,2627.0,2024
9.0,2954.0,2024
10.0,2771.0,2024
11.0,2007.0,2024
12.0,1328.0,2024
1.0,950.0,2025
2.0,1112.0,2025
3.0,1592.0,2025
4.0,1820.0,2025
5.0,2684.0,2025
6.0,1777.0,2025
7.0,1801.0,2025
8.0,2610.0,2025
9.0,2910.0,2025
10.0,2876.0,2025
11.0,1912.0,2025
12.0,1059.0,2025
